Timestamp,Container,CPU_Percentage,Memory_Percentage
09:04:25,lb,0.00%,0.07%
09:04:27,lb,0.00%,0.07%
09:04:30,lb,0.00%,0.07%
09:04:32,lb,0.00%,0.07%
09:04:35,lb,0.00%,0.07%
09:04:37,lb,0.00%,0.07%
09:04:40,lb,0.00%,0.07%
09:04:42,lb,0.00%,0.07%
09:04:45,lb,0.00%,0.07%
09:04:47,lb,0.02%,0.07%
09:04:50,lb,0.00%,0.07%
09:04:52,lb,0.00%,0.07%
09:04:55,lb,0.00%,0.07%
09:04:57,lb,0.36%,0.07%
09:05:00,lb,0.00%,0.07%
09:05:03,lb,0.00%,0.07%
09:05:05,lb,0.00%,0.07%
09:05:08,lb,0.02%,0.07%
09:05:10,lb,0.00%,0.07%
09:05:13,lb,0.00%,0.07%
09:05:15,lb,0.00%,0.07%
09:05:18,lb,0.03%,0.07%
09:05:20,lb,0.00%,0.07%
09:05:23,lb,0.00%,0.07%
09:05:25,lb,0.00%,0.07%
09:05:28,lb,0.03%,0.07%
09:05:30,lb,0.00%,0.07%
09:05:33,lb,0.00%,0.07%
09:05:35,lb,0.00%,0.07%
09:05:38,lb,0.02%,0.07%
09:05:41,lb,43.67%,0.21%
09:05:43,lb,97.71%,0.77%
09:05:46,lb,90.97%,0.95%
09:05:48,lb,78.36%,0.97%
09:05:51,lb,89.26%,1.02%
09:05:53,lb,100.58%,1.08%
09:05:56,lb,106.69%,1.07%
09:05:58,lb,93.75%,1.16%
09:06:01,lb,91.46%,1.20%
09:06:04,lb,99.92%,1.20%
09:06:06,lb,106.80%,1.20%
09:06:09,lb,104.28%,1.20%
09:06:11,lb,108.59%,1.20%
09:06:14,lb,97.33%,1.21%
09:06:16,lb,90.05%,1.21%
09:06:19,lb,87.99%,1.21%
09:06:21,lb,91.68%,1.21%
09:06:24,lb,104.26%,1.21%
09:06:27,lb,107.63%,1.21%
09:06:29,lb,104.11%,1.21%
09:06:32,lb,93.00%,1.21%
09:06:34,lb,91.86%,1.21%
09:06:37,lb,90.40%,1.21%
09:06:39,lb,94.19%,1.21%
09:06:42,lb,29.35%,1.18%
09:06:44,lb,0.00%,1.18%
09:06:47,lb,0.43%,1.18%
09:06:50,lb,0.21%,1.18%
09:06:52,lb,0.00%,1.18%
09:06:55,lb,0.00%,1.18%
09:06:57,lb,2.42%,1.18%
09:07:00,lb,0.00%,1.17%
09:07:02,lb,0.00%,1.17%
09:07:05,lb,0.00%,1.17%
09:07:07,lb,0.05%,1.17%
09:07:10,lb,0.00%,1.17%
09:07:12,lb,0.00%,1.17%
09:07:15,lb,0.00%,1.17%
09:07:17,lb,0.02%,1.17%
09:07:20,lb,0.00%,1.17%
09:07:22,lb,0.00%,1.17%
09:07:25,lb,0.00%,1.17%
09:07:27,lb,0.04%,1.17%
09:07:30,lb,0.20%,1.17%
09:07:33,lb,0.00%,1.17%
09:07:35,lb,0.00%,1.17%
09:07:38,lb,0.06%,1.17%
09:07:40,lb,0.00%,1.17%
09:07:43,lb,0.00%,1.17%
09:07:45,lb,0.00%,1.17%
09:07:48,lb,0.02%,1.17%
09:07:50,lb,0.00%,1.17%
09:07:53,lb,0.00%,1.17%
09:07:55,lb,0.00%,1.17%
09:07:58,lb,0.03%,1.17%
09:08:00,lb,0.00%,1.17%
09:08:03,lb,0.00%,1.17%
09:08:05,lb,0.00%,1.17%
09:08:08,lb,0.02%,1.17%
09:08:11,lb,0.00%,1.17%
09:08:13,lb,0.00%,1.17%
09:08:16,lb,0.00%,1.17%
09:08:18,lb,0.02%,1.17%
09:08:21,lb,0.00%,1.17%
09:08:23,lb,0.00%,1.17%
09:08:26,lb,0.00%,1.17%
09:08:28,lb,0.00%,1.17%
09:08:31,lb,0.00%,1.17%
09:08:34,lb,0.00%,1.17%
09:08:36,lb,0.00%,1.17%
09:08:39,lb,0.00%,1.17%
09:08:41,lb,0.00%,1.16%
09:08:44,lb,0.00%,1.16%
09:08:46,lb,0.00%,1.16%
09:08:49,lb,0.00%,1.16%
09:08:51,lb,0.00%,1.08%
09:08:54,lb,0.00%,1.08%
09:08:57,lb,0.00%,1.08%
09:08:59,lb,0.00%,1.07%
09:09:02,lb,0.00%,1.10%
09:09:04,lb,0.00%,1.10%
09:09:07,lb,0.00%,1.10%
09:09:09,lb,0.00%,1.10%
09:09:12,lb,0.00%,1.10%
09:09:14,lb,0.00%,1.10%
09:09:17,lb,0.00%,1.10%
09:09:19,lb,0.00%,1.10%
09:09:22,lb,0.00%,1.10%
