Timestamp,Container,CPU_Percentage,Memory_Percentage
09:15:12,lb,0.00%,0.03%
09:15:14,lb,0.00%,0.03%
09:15:17,lb,0.00%,0.03%
09:15:19,lb,0.00%,0.03%
09:15:22,lb,0.00%,0.03%
09:15:25,lb,0.00%,0.03%
09:15:27,lb,0.00%,0.03%
09:15:30,lb,0.00%,0.03%
09:15:32,lb,0.00%,0.03%
09:15:35,lb,0.00%,0.03%
09:15:37,lb,0.00%,0.03%
09:15:40,lb,0.00%,0.03%
09:15:42,lb,0.00%,0.03%
09:15:45,lb,0.00%,0.03%
09:15:47,lb,0.00%,0.03%
09:15:50,lb,0.00%,0.03%
09:15:52,lb,0.00%,0.03%
09:15:55,lb,0.00%,0.03%
09:15:57,lb,0.00%,0.03%
09:16:00,lb,0.08%,0.03%
09:16:02,lb,0.00%,0.03%
09:16:05,lb,0.00%,0.03%
09:16:08,lb,0.00%,0.03%
09:16:10,lb,0.00%,0.03%
09:16:13,lb,0.00%,0.03%
09:16:15,lb,0.00%,0.03%
09:16:18,lb,0.00%,0.03%
09:16:20,lb,0.00%,0.03%
09:16:23,lb,0.00%,0.03%
09:16:25,lb,0.00%,0.03%
09:16:28,lb,41.49%,0.12%
09:16:30,lb,40.78%,0.12%
09:16:33,lb,41.19%,0.12%
09:16:35,lb,40.72%,0.13%
09:16:38,lb,41.72%,0.13%
09:16:41,lb,42.05%,0.13%
09:16:43,lb,42.53%,0.13%
09:16:46,lb,41.08%,0.13%
09:16:48,lb,41.04%,0.13%
09:16:51,lb,40.79%,0.13%
09:16:53,lb,41.44%,0.13%
09:16:56,lb,42.02%,0.13%
09:16:58,lb,41.27%,0.13%
09:17:01,lb,41.82%,0.13%
09:17:03,lb,41.98%,0.13%
09:17:06,lb,41.34%,0.13%
09:17:09,lb,42.03%,0.13%
09:17:11,lb,42.50%,0.13%
09:17:14,lb,42.01%,0.13%
09:17:16,lb,41.58%,0.13%
09:17:19,lb,55.70%,0.13%
09:17:21,lb,114.38%,0.13%
09:17:24,lb,108.34%,0.13%
09:17:26,lb,71.44%,0.11%
09:17:29,lb,0.50%,0.10%
09:17:32,lb,0.15%,0.10%
09:17:34,lb,0.08%,0.10%
09:17:37,lb,0.00%,0.10%
09:17:39,lb,0.03%,0.10%
09:17:42,lb,0.22%,0.10%
09:17:44,lb,0.00%,0.10%
09:17:47,lb,0.00%,0.10%
09:17:49,lb,0.00%,0.10%
09:17:52,lb,0.24%,0.09%
09:17:54,lb,0.00%,0.09%
09:17:57,lb,0.00%,0.09%
09:17:59,lb,0.00%,0.09%
09:18:02,lb,0.00%,0.09%
09:18:04,lb,0.00%,0.09%
09:18:07,lb,0.00%,0.09%
09:18:09,lb,0.00%,0.09%
09:18:12,lb,0.00%,0.09%
09:18:15,lb,0.00%,0.08%
09:18:17,lb,0.00%,0.08%
09:18:20,lb,0.00%,0.08%
09:18:22,lb,0.00%,0.08%
09:18:25,lb,0.00%,0.08%
09:18:27,lb,0.00%,0.08%
09:18:30,lb,0.00%,0.08%
09:18:32,lb,0.00%,0.08%
09:18:35,lb,0.00%,0.08%
09:18:37,lb,0.00%,0.08%
09:18:40,lb,0.00%,0.08%
09:18:42,lb,0.00%,0.08%
09:18:45,lb,0.00%,0.08%
09:18:47,lb,0.00%,0.08%
09:18:50,lb,0.00%,0.08%
09:18:53,lb,0.00%,0.08%
09:18:55,lb,0.00%,0.08%
09:18:58,lb,0.00%,0.08%
09:19:00,lb,0.00%,0.08%
09:19:03,lb,0.00%,0.08%
09:19:05,lb,0.00%,0.08%
09:19:08,lb,0.00%,0.08%
09:19:10,lb,0.00%,0.08%
09:19:13,lb,0.00%,0.08%
09:19:15,lb,0.00%,0.08%
09:19:18,lb,0.00%,0.08%
09:19:20,lb,0.00%,0.08%
09:19:23,lb,0.00%,0.08%
09:19:25,lb,0.00%,0.08%
09:19:28,lb,0.00%,0.08%
09:19:31,lb,0.00%,0.08%
09:19:33,lb,0.00%,0.08%
09:19:36,lb,0.00%,0.08%
09:19:38,lb,0.00%,0.08%
09:19:41,lb,0.00%,0.08%
09:19:43,lb,0.00%,0.08%
09:19:46,lb,0.00%,0.08%
09:19:48,lb,0.00%,0.08%
09:19:51,lb,0.00%,0.08%
09:19:53,lb,0.00%,0.08%
09:19:56,lb,0.00%,0.08%
09:19:58,lb,0.00%,0.08%
09:20:01,lb,0.00%,0.08%
09:20:03,lb,0.00%,0.08%
09:20:06,lb,0.00%,0.08%
09:20:09,lb,0.00%,0.08%
09:20:11,lb,0.00%,0.08%
